#OPEN ← ウィンドウ開放
#TEXT ← メッセージ内容(/で改行)
#SPEED ← メッセージスピード
#WAIT ← 次のメッセージまでの時間
#IF ← 条件を満たしたら次のメッセージを読み込む
    #PUSH ← ボタンが押されたら次のメッセージを読み込む
    #PUSHコマンド引数
    #PUSH 読み込むボタン 押されてから何秒後にメッセージを読み込むか
    #例 PUSH LCLICK 60
    #MOVE ← その座標まで進んだら次のメッセージを読み込む
    #MOVEコマンド引数
        #MOVE 二次元座標X 二次元座標Y 半径
        #例 MOVE 200 100 100
#CLOSE ← ウィンドウ閉鎖

OPEN
TEXT 守護者よ、目覚めたか
SPEED 3
WAIT 60

TEXT 敵が迫っている。今すぐ我のもとに戻れ
SPEED 3
WAIT 60

TEXT 何?どう動けばいいのかわからぬだと?
SPEED 3
WAIT 60

IF PUSH W 60
TEXT マウスで狙っているところに/[W]で向かうだろう?
SPEED 3
WAIT 1

TEXT そうだ。動けるではないか
SPEED 3
WAIT 60

TEXT よもや、貴様。血の使いかたも忘れてはおらぬな?
SPEED 3
WAIT 60

IF PUSH LCLICK 60
TEXT マウスで狙っているところに[左クリック]だ
SPEED 3
WAIT 1

TEXT そうだ。
SPEED 3
WAIT 60

IF PUSH E 60
TEXT では、熱波を出してみろ/[E]
SPEED 3
WAIT 1

TEXT これで血が気体になったな
SPEED 3
WAIT 60

IF PUSH LCLICK 60
TEXT もう一度血を出してみろ/[左クリック]
SPEED 3
WAIT 1

IF PUSH Q 60
TEXT よし、では冷波を出すんだ/[Q]
SPEED 3
WAIT 1

TEXT これで液体となった血は回収されたな
SPEED 3
WAIT 60

TEXT そして液体だった血は個体となっただろう
SPEED 3
WAIT 60

TEXT [液体]に[熱波]で[気体]に
SPEED 3
WAIT 60

TEXT [液体]に[冷波]で[個体]に
SPEED 3
WAIT 60

TEXT そして[個体]と[気体]は逆の波動を当てれば/[液体]に戻る
SPEED 3
WAIT 60

TEXT これが貴様の力だ。思い出したか
SPEED 3
WAIT 30

IF MOVE 640 360 1000
TEXT ではこちらに向かってこい
SPEED 3
WAIT 1

TEXT よし来たな。
SPEED 3
WAIT 30

CLOSE
